deathRate,medIncome,povertyPercent,MedianAge,AvgHouseholdSize,PercentMarried,PctHS18_24,PctBachDeg18_24,PctUnemployed16_Over,PctPrivateCoverage,PctPublicCoverage,PctMarriedHouseholds,BirthRate
164.9,61898,11.2,39.3,2.54,52.5,39.5,6.9,8,75.1,32.9,52.85607588,6.118831029
161.3,48127,18.6,33,2.34,44.5,22.4,7.5,7.8,70.2,31.1,45.37250044,4.333095578
174.7,49348,14.6,45,2.62,54.2,36.6,9.5,7,63.7,42.1,54.44486837,3.729487817
194.8,44243,17.1,42.8,2.52,52.7,41.2,2.5,12.1,58.4,45.3,51.02151448,4.603840773
144.4,49955,12.5,48.3,2.34,57.8,43,2,4.8,61.6,44,54.02745995,6.796657382
176,52313,15.6,45.4,2.58,50.4,35.1,4.5,12.9,60,43.2,51.22035959,4.964476021
175.9,37782,23.2,42.6,2.42,54.1,41.4,5.8,8.9,49.5,46.4,51.01389975,4.204317269
183.6,40189,17.8,51.7,2.24,52.7,33.9,2.2,8.9,55.8,50.9,48.96703297,5.889178996
190.5,42579,22.3,49.3,2.38,55.9,39.4,1.4,10.3,55.5,48.1,53.44699778,5.587583149
177.8,60397,13.1,35.8,2.65,50,36.3,7.1,9.2,69.9,31.4,50.06357342,5.533430211
121.4,54721,12.7,54.4,2.04,56.8,32.4,5.2,5.9,67.2,41.6,50.0389206,4.586129754
172.7,51395,15.7,41,2.56,53.6,33.8,3.1,8.2,64.4,38.1,52.93732685,5.818153266
188.3,52673,12.6,45.2,2.49,54.4,43.8,2.4,8.3,64.4,36.1,52.94771969,4.805591962
165.3,71890,9.9,37.6,2.68,52.1,33.3,8.3,7.5,73.3,25.9,52.72049671,4.729251068
171,50083,16.3,37.2,2.45,49.4,29.3,8.6,8.4,65.2,36.5,48.18837711,5.355835918
174.2,43823,19.3,46.2,2.44,57.2,35.3,3.9,9.4,58.3,45.8,55.21239889,3.631082062
169.9,61653,11.9,38.5,2.52,52.4,31.7,7.4,8.5,74.5,30.7,50.87449211,5.180155167
153.8,51022,13.9,52.1,2.31,53.5,20.8,4.2,10.6,64.7,49.7,53.37995338,0.535475234
162.8,49819,15.7,36.9,2.5,46.5,29.2,5.6,6.4,65.7,38,49.3270649,4.138710893
163.3,53733,15.7,36.5,2.53,47.5,22.1,7.7,8.2,68.7,31.9,48.06875024,4.4729858
